time,open,high,low,close,volume,signal,action,action_price,budget,profit,drawdown
2021-01-11 12:15:00+07:00,1120.1,1128.4,1097.4,1120.0,1000616.405,1236.3298461538461,sell,0.0,100.0,0.0,0.0
2021-01-11 12:30:00+07:00,1120.0,1123.9,1098.4,1101.2,1329672.1119,1232.3455384615386,sell,0.0,100.0,0.0,0.0
2021-01-11 12:45:00+07:00,1101.2,1104.4,1079.5,1092.9,2080524.6343,1228.1296923076923,sell,0.0,100.0,0.0,0.0
2021-01-11 13:00:00+07:00,1092.9,1093.8,1057.7,1059.8,4152529.3681,1223.6167692307693,sell,0.0,100.0,0.0,0.0
2021-01-11 13:15:00+07:00,1059.8,1087.7,1054.4,1082.9,1723164.754,1218.904923076923,sell,0.0,100.0,0.0,0.0
2021-01-11 13:30:00+07:00,1082.9,1092.9,1047.8,1056.4,1006689.8231,1214.039076923077,sell,0.0,100.0,0.0,0.0
2021-01-11 13:45:00+07:00,1056.2,1063.0,1011.0,1023.5,3257429.5452,1208.9953846153844,sell,0.0,100.0,0.0,0.0
2021-01-11 14:00:00+07:00,1023.9,1051.9,1011.0,1031.5,3794939.118,1203.7723076923078,sell,0.0,100.0,0.0,0.0
2021-01-11 14:15:00+07:00,1031.5,1050.3,1005.0,1049.4,1956227.35166,1198.374,sell,0.0,100.0,0.0,0.0
2021-01-11 14:30:00+07:00,1049.4,1078.7,1049.4,1073.9,1974692.7465,1192.828,sell,0.0,100.0,0.0,0.0
2021-01-11 14:45:00+07:00,1073.9,1080.0,1060.9,1070.3,1248655.6996,1187.1855384615385,sell,0.0,100.0,0.0,0.0
2021-01-11 15:00:00+07:00,1070.3,1096.4,1047.1,1094.1,1004315.9133,1181.4952307692308,sell,0.0,100.0,0.0,0.0
2021-01-11 15:15:00+07:00,1094.1,1112.0,1090.4,1093.3,728719.8714,1175.7536923076923,sell,0.0,100.0,0.0,0.0
2021-01-11 15:30:00+07:00,1093.3,1119.8,1093.3,1119.0,800697.0161,1170.0301538461538,sell,0.0,100.0,0.0,0.0
2021-01-11 15:45:00+07:00,1119.0,1125.5,1106.2,1108.4,677402.7708,1164.2281538461539,sell,0.0,100.0,0.0,0.0
2021-01-11 16:00:00+07:00,1108.4,1114.0,1085.0,1093.4,899413.2884,1158.265076923077,sell,0.0,100.0,0.0,0.0
2021-01-11 16:15:00+07:00,1093.4,1112.2,1089.7,1109.2,521047.773,1152.3336923076922,sell,0.0,100.0,0.0,0.0
2021-01-11 16:30:00+07:00,1109.2,1109.8,1096.9,1102.6,1468247.7443,1146.5716923076923,sell,0.0,100.0,0.0,0.0
2021-01-11 16:45:00+07:00,1102.6,1134.1,1100.9,1134.1,687686.6292,1141.192923076923,sell,0.0,100.0,0.0,0.0
